empty_count,longitude,latitude
0,50.450386085935094,30.524547100067142
10,50.45050063818424,30.52432932092009
10,50.45061519043338,30.524111541773035
0,50.450729742682526,30.52389376262598
20,50.45084429493167,30.523675983478928
20,50.450958847180814,30.523458204331874
0,50.45107339942996,30.52324042518482
30,50.4511879516791,30.523022646037766
30,50.45130250392825,30.522804866890713
0,50.45141705617739,30.52258708774366
40,50.45158184958234,30.52247389776916
40,50.451757508676074,30.522413170763514
0,50.45193316776981,30.522352443757867
35,50.452108826863544,30.52229171675222
67,50.45228448595728,30.522230989746575
1,50.45246014505101,30.52217026274093
20,50.45263580414475,30.522109535735282
20,50.45281146323848,30.522048808729636
20,50.45298712233222,30.52198808172399
40,50.45316278142595,30.521927354718343
30,50.45333844051969,30.521866627712697
33,50.4535017075372,30.521748100680377
21,50.45366497455471,30.521629573648056
12,50.453828241572225,30.521511046615736
45,50.45399150858974,30.521392519583415
12,50.45415477560725,30.521273992551095
12,50.45431804262476,30.521155465518774
89,50.454481309642276,30.521036938486453
9,50.45464457665979,30.520918411454133
1,50.4548078436773,30.520799884421812
2,50.454971110694814,30.520681357389492
3,50.455093555427055,30.520474423051503
4,50.4552160001593,30.520267488713515
5,50.45523090797679,30.51998595727611
6,50.455245815794285,30.519704425838704
7,50.45526072361178,30.5194228944013
8,50.455275631429274,30.519141362963893
9,50.45529053924677,30.518859831526488
10,50.45530544706426,30.518578300089082
20,50.455320354881756,30.518296768651677
23,50.45533526269925,30.51801523721427
43,50.455350170516745,30.517733705776866
44,50.45536507833424,30.51745217433946
50,50.45535571063255,30.517170053920086
1,50.45518133729636,30.517100783785818
10,50.455006963960166,30.51703151365155
2,50.45483259062397,30.51696224351728
3,50.45465821728778,30.516892973383012
4,50.454483843951586,30.516823703248743
90,50.45430947061539,30.516754433114475
34,50.4541350972792,30.516685162980206
23,50.45397769437711,30.51682186381075
15,50.45382029147502,30.516958564641296
78,50.45366288857293,30.51709526547184
93,50.45348323217105,30.517081686354636
41,50.45336278271238,30.51687189126274
23,50.45324233325371,30.51666209617084
22,50.45312188379504,30.516452301078942
24,50.45297828058652,30.516282205294928
25,50.452804445806855,30.516209678584172
26,50.45263061102719,30.516137151873416
98,50.45245677624752,30.51606462516266
99,50.45228294146786,30.515992098451903
100,50.45210910668819,30.515919571741147
99,50.451935271908525,30.51584704503039
21,50.45176143712886,30.515774518319635
24,50.45158760234919,30.51570199160888
47,50.45141376756953,30.515629464898122
81,50.45123993278986,30.515556938187366
12,50.451066098010195,30.51548441147661
29,50.45089226323053,30.515411884765854
90,50.45071842845086,30.515339358055098
92,50.4505445936712,30.51526683134434
21,50.45037075889153,30.515194304633585
18,50.450196924111864,30.51512177792283
83,50.4500230893322,30.515049251212073
33,50.44984925455253,30.514976724501317
34,50.449675419772866,30.51490419779056
49,50.4495015849932,30.514831671079804
95,50.449327750213534,30.514759144369048
50,50.44915391543387,30.514686617658292
1,50.4489800806542,30.514614090947536
13,50.44893464360986,30.51488739159867
31,50.44888920656552,30.515160692249804
13,50.448843769521176,30.515433992900938
32,50.448798332476834,30.515707293552072
21,50.44875289543249,30.515980594203207
12,50.44870745838815,30.51625389485434
29,50.44866202134381,30.516527195505475
99,50.448616584299465,30.51680049615661
99,50.44857114725512,30.517073796807743
99,50.44852571021078,30.517347097458877
90,50.44848027316644,30.51762039811001
0,50.4484348361221,30.517893698761146
0,50.448389399077755,30.51816699941228
0,50.44834396203341,30.518440300063414
82,50.44829852498907,30.51871360071455
28,50.44825308794473,30.518986901365682
28,50.448207650900386,30.519260202016817
0,50.448162213856044,30.51953350266795
0,50.4481167768117,30.519806803319085
0,50.44807133976736,30.52008010397022
29,50.44802590272302,30.520353404621353
0,50.447980465678675,30.520626705272488
0,50.44793502863433,30.52090000592362
0,50.44788959158999,30.521173306574756
29,50.44784415454565,30.52144660722589
0,50.44779871750131,30.521719907877024
0,50.447753280456965,30.52199320852816
0,50.4479216063945,30.52209274810735
90,50.44808993233204,30.522192287686543
0,50.448258258269576,30.522291827265736
91,50.44842658420711,30.52239136684493
0,50.44859491014465,30.52249090642412
23,50.448763236082186,30.522590446003314
0,50.44893156201972,30.522689985582506
23,50.44907610254229,30.52285809923405
0,50.44922064306486,30.523026212885593
13,50.44936518358743,30.523194326537137
84,50.44950972411,30.52336244018868
20,50.44965426463257,30.523530553840224
21,50.44979880515514,30.523698667491768
31,50.44994334567771,30.52386678114331
0,50.450069433207545,30.52406822530458
2,50.450204300386,30.52425511880424
